section,record_type,field,value
Cash Report,Data,Deposits,Base Currency Summary
Cash Report,Data,Withdrawals,Base Currency Summary
Cash Report,Data,Dividends,Base Currency Summary
Cash Report,Data,Broker Interest Paid and Received,Base Currency Summary
Cash Report,Data,Trades (Sales),Base Currency Summary
Cash Report,Data,Trades (Purchase),Base Currency Summary
Cash Report,Data,Payment In Lieu of Dividends,Base Currency Summary
Cash Report,Data,Transaction Fees,Base Currency Summary
Cash Report,Data,Withholding Tax,Base Currency Summary
Cash Report,Data,Cash FX Translation Gain/Loss,Base Currency Summary
Cash Report,Data,Ending Cash,Base Currency Summary
Cash Report,Data,Ending Settled Cash,Base Currency Summary
Cash Report,Data,Starting Collateral Value,Base Currency Summary
Cash Report,Data,Net Securities Lent Activity,Base Currency Summary
Cash Report,Data,Ending Collateral Value,Base Currency Summary
Cash Report,Data,Net Cash Balance,Base Currency Summary
Cash Report,Data,Net Settled Cash Balance,Base Currency Summary
Cash Report,Data,Starting Cash,ILS
Cash Report,Data,Deposits,ILS
Cash Report,Data,Withdrawals,ILS
Cash Report,Data,Trades (Sales),ILS
Cash Report,Data,Trades (Purchase),ILS
Cash Report,Data,Ending Cash,ILS
Cash Report,Data,Ending Settled Cash,ILS
Cash Report,Data,Starting Cash,USD
Cash Report,Data,Commissions,USD
Cash Report,Data,Dividends,USD
Cash Report,Data,Broker Interest Paid and Received,USD
Cash Report,Data,Trades (Sales),USD
Cash Report,Data,Trades (Purchase),USD
Cash Report,Data,Payment In Lieu of Dividends,USD
Cash Report,Data,Transaction Fees,USD
Cash Report,Data,Withholding Tax,USD
Cash Report,Data,Ending Cash,USD
Cash Report,Data,Ending Settled Cash,USD
Cash Report,Data,Starting Collateral Value,USD
Cash Report,Data,Net Securities Lent Activity,USD
Cash Report,Data,Ending Collateral Value,USD
Cash Report,Data,Net Cash Balance,USD
Cash Report,Data,Net Settled Cash Balance,USD
Open Positions,Header,DataDiscriminator,Asset Category
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Total,,Stocks
Forex Balances,Header,Asset Category,Currency
Forex Balances,Data,Forex,USD
Forex Balances,Data,Forex,USD
Forex Balances,Data,Total,
Net Stock Position Summary,Header,Asset Category,Currency
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Net Stock Position Summary,Data,Stocks,USD
Trades,Header,DataDiscriminator,Asset Category
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
